Name,Team,date,GA1,GA2,GA3,GA
문경찬,KIA,07월 10일,0,3,0,0
문승원,SK,04월 18일,3,2,3,1
문승원,SK,04월 24일,2,3,1,2
문승원,SK,04월 29일,3,1,2,6
문승원,SK,05월 05일,1,2,6,0
문승원,SK,05월 11일,2,6,0,5
문승원,SK,05월 19일,6,0,5,0
문승원,SK,05월 24일,0,5,0,1
문승원,SK,05월 30일,5,0,1,8
문승원,SK,06월 05일,0,1,8,2
문승원,SK,06월 10일,1,8,2,3
문승원,SK,06월 16일,8,2,3,3
문승원,SK,06월 22일,2,3,3,5
문승원,SK,07월 03일,3,3,5,3
문승원,SK,07월 08일,3,5,3,4
박근홍,삼성,06월 20일,0,0,0,0
박근홍,삼성,06월 22일,0,0,0,0
박근홍,삼성,06월 24일,0,0,0,4
박근홍,삼성,06월 27일,0,0,4,0
박근홍,삼성,07월 07일,0,4,0,0
박상원,한화,04월 13일,0,0,0,0
박상원,한화,04월 17일,0,0,0,0
박상원,한화,04월 19일,0,0,0,0
박상원,한화,04월 21일,0,0,0,0
박상원,한화,05월 11일,0,0,0,0
박상원,한화,05월 22일,0,0,0,0
박상원,한화,05월 26일,0,0,0,0
박상원,한화,05월 29일,0,0,0,0
박상원,한화,05월 30일,0,0,0,0
박상원,한화,06월 01일,0,0,0,0
박상원,한화,06월 03일,0,0,0,0
박상원,한화,06월 09일,0,0,0,0
박상원,한화,06월 15일,0,0,0,3
박상원,한화,06월 24일,0,0,3,0
박상원,한화,06월 26일,0,3,0,0
박상원,한화,06월 28일,3,0,0,0
