Name,Team,date,2B,3B,OPS,IBB,SB,CS,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,HR,SH,SF,R
신본기,롯데,05월 24일,0,0,1.0613,0.4,0,0,1.2,0,1.4,0.1,1.2,1.2,0.4163,0.645,5,3.5,0.4163,0.2,0,0,0,0
신본기,롯데,05월 26일,0,0,0.7099,0.2,0,0,1.2,0,0.4,0,1.2,1.2,0.3249,0.385,4.9,4.5,0.3249,0.1,0,0,0,0
신본기,롯데,05월 29일,0,0,0.1833,0,0,0,0.3,0,0.1,0,1.2,0.3,0.0833,0.1,4.8,4.7,0.0833,0,0,0,0,0
신본기,롯데,05월 31일,0,0,0.05,0,0,0,0.1,0,0,0,2.1,0.1,0.025,0.025,3.9,3.9,0.025,0,0,0,0,0
신본기,롯데,06월 01일,0,0,0.225,0,0,0,0,0,0.9,0,0.5,0,0,0.225,4.6,3.7,0,0,0,0,0,1
신본기,롯데,06월 05일,0,0,1.2497,0,0,0,1.8,0,0.2,0,1.1,1.8,0.6003,0.6503,4.7,3.6,0.6003,0.9,0,0,0,0
신본기,롯데,06월 06일,0,0,0.2916,0,0,0,0.4,0.9,0.1,0,1.1,0.4,0.1334,0.1584,4.8,4.5,0.1334,0.2,0,0,0,1
신본기,롯데,06월 07일,0,0,0.973,0,0,0,1.1,0.2,1.8,0,1.2,1.1,0.3664,0.6067,5.7,3.8,0.3664,1.9,0,0,0,0
신본기,롯데,06월 08일,0,0,0.1866,0,0,0,0.2,0.1,0.4,0,3,0.2,0.0666,0.12,5.9,4.6,0.0666,0.4,0,0,0,1
신본기,롯데,06월 12일,1.8,0,1.4433,0,0,0,3.7,0,0.2,0,0.7,1.9,0.9333,0.51,5.1,4.7,0.4833,1.1,0,0,0,0
신본기,롯데,06월 13일,0.4,0,1.5753,0,0,0,2.6,0,0.9,0,0.3,2.2,0.8003,0.775,4.9,3.9,0.7003,0.2,0,0,0,1
신본기,롯데,06월 14일,0.2,0,0.8384,0,0,0,1.7,0,0.2,0,1.8,1.5,0.4584,0.38,5.7,4.6,0.4084,1,0,0.9,0,0
신본기,롯데,06월 15일,0,0.9,1.5817,0,0,0,3.1,0,1,0,1.3,1.3,1.0167,0.565,5,3.8,0.4164,2,0,0.2,0,2
신본기,롯데,06월 16일,0,0.2,1.335,0,0,0,2.5,0,1.1,0,1.3,2.1,0.675,0.66,5.8,4.6,0.5416,1.4,0,0.1,0,1
신본기,롯데,06월 17일,0,0.1,2.4697,0,0,0,5.2,0,0.3,0,0.3,2.3,1.7003,0.7703,5,3.8,0.7336,2.2,0.9,0,0,2
신본기,롯데,06월 19일,0,0,1.1616,0,0,0,2.1,0,1,0,1.9,1.5,0.6084,0.5534,5.8,4.6,0.4084,1.4,0.2,0,0,1
신본기,롯데,06월 20일,0,0,1.0833,0,0,0,2.5,0,0.2,0,0.4,2.2,0.5767,0.5067,5.9,5.6,0.4767,1.3,0.1,0,0,1
신본기,롯데,06월 21일,2.7,0,1.845,0,0,0,5.9,0,0.1,0,1.1,3.2,1.185,0.66,6,5.9,0.645,1.2,0,0,0,0
신본기,롯데,06월 22일,0.6,0,1.1897,0,0,0.9,2.3,0,0,0.9,0.2,1.7,0.5797,0.61,5.1,4.2,0.4597,0.3,0,0,0,0
신본기,롯데,06월 23일,0.3,0,0.3466,0,0,0.2,0.8,0,0,0.2,1.9,0.5,0.1866,0.16,4.9,4.7,0.1266,0.1,0,0,0,0
신본기,롯데,06월 24일,0.9,0,1.6583,0,0,0.1,1.9,0,1.8,0.1,0.4,1,0.9333,0.725,4.8,2.9,0.4833,1.8,0,0,0,0
신본기,롯데,06월 26일,0.2,0,0.35,0,0,0,0.4,0,0.4,0,0.2,0.2,0.2,0.15,5.7,5.3,0.1,0.4,0,0,0,1
신본기,롯데,06월 28일,1,0,1.075,0,0,0,2,0,0.2,0,0,1,0.7003,0.3747,4.1,3.9,0.3497,0.2,0,0,0,0
신본기,롯데,06월 30일,1.1,0,1.775,0,0,0,3.1,0,0.9,0,0,2,1.0334,0.7416,4.7,3.8,0.6669,0.9,0,0,0,1
신본기,롯데,07월 04일,0.3,0,1.0503,0,0,0,1.7,0,0.2,0,0.9,1.4,0.5664,0.483,4.7,3.6,0.4664,0.2,0,0,0,0
신본기,롯데,07월 06일,0.1,0,1.0581,0,0,0,1.4,0,1,0,0.2,1.3,0.4663,0.5916,4.8,3.6,0.433,0.1,0,0,0,1
신본기,롯데,07월 07일,0,0,1.6283,0,0,0,3,0,1.1,0,1,3,0.7749,0.8533,5.7,4.5,0.7749,0.9,0,0,0,0
